what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346752634410
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752645437
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346752666923
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1346752669059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752669282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752671841
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346752672817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752677344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752679212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752680089
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346752680771
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1346752683339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752683532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752686825
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1346752690048
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1346752706915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752711143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752786008
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752786328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346752791866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752795477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346752796775
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346752797984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752801019
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752805276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752808217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346752813662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346752814792
