what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347710021
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347716992
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347716992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347719267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347744497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347746348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347783653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347784938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347347789349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347790671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347816396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347821073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347824046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347826137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347835390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347838114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347859297
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347347866351
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347868478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347868525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347873509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347955541
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1347347963932
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1347347964236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347970911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347347975441
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347977107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347977142
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347981044
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347981045
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347347983589
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347983939
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347983981
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347992123
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347992123
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347347993119
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347993548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347993593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347995330
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347347995330
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347347997005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347347998209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348000383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348084060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347348093639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348094821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348135285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348136865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348151400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347348153985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347348163371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348164194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348170222
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1347348226142
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347348238990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348241672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348257356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1347348260516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347348261673
